Waterbody Name,Acres_Mile,Boat Launch Type,Boat Launch Owner,Amenities,Fish Species,Ice Fishing,Comments,Boat Launch Information,Waterbody Information,Contour Map of Waterbody,Special Regulations on Waterbody,County,Longitude,Latitude,Location
Harwood Lake,34,Hand Launch,DEC,Campsite,Brook Trout - Brown Trout - American Black Bass - Sunfish - Yellow Perch,Ice Fishing Permitted,Electric motors only,http://www.dec.ny.gov/outdoor/23909.html,http://www.dec.ny.gov/outdoor/26955.html,http://www.dec.ny.gov/docs/fish_marine_pdf/harwoodlkmap.pdf,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,-78.380728957,42.383089961,"(42.383089961, -78.380728957)"
Lime Lake,159,Hand Launch,DEC,Campsite,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Muskellunge,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23909.html,http://www.dec.ny.gov/outdoor/26950.html,http://www.dec.ny.gov/docs/fish_marine_pdf/limelkmap.pdf,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,-78.479137795,42.427804799,"(42.427804799, -78.479137795)"
New Albion Lake,45,Hand Launch,DEC,Campsite,Brook Trout - Brown Trout - American Black Bass - Sunfish - Yellow Perch,Ice Fishing Permitted,Electric motors only,http://www.dec.ny.gov/outdoor/23909.html,http://www.dec.ny.gov/outdoor/26946.html,http://www.dec.ny.gov/docs/fish_marine_pdf/newalbionlkmap.pdf,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,-78.912807437,42.301352986,"(42.301352986, -78.912807437)"
Quaker Lake,268,Trailer Unimproved,OPRHP (State Parks),Fishing Pier - Campsite,Brown Trout - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Northern Pike,Ice Fishing Permitted,5 horsepower electric morots only,http://www.dec.ny.gov/outdoor/23909.html,http://www.dec.ny.gov/outdoor/26941.html,http://www.dec.ny.gov/docs/fish_marine_pdf/quakerlkmap.pdf,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,-78.867840881,42.043341166,"(42.043341166, -78.867840881)"
Red House Lake,110,Trailer Unimproved,OPRHP (State Parks),Boat Rental - Campsite,Brown Trout - American Black Bass - Sunfish - Yellow Perch - Black Crappie,Ice Fishing Permitted,No motors,http://www.dec.ny.gov/outdoor/23909.html,http://www.dec.ny.gov/outdoor/26924.html,http://www.dec.ny.gov/docs/fish_marine_pdf/redhouselkmap.pdf,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,-78.744663198,42.102819842,"(42.102819842, -78.744663198)"
Rushford Lake,585,Trailer Improved,Private,Marina - Boat Rental - Campsite,Brown Trout - Rainbow Trout - Smallmouth Bass - Sunfish - Yellow Perch - Black Crappie - Walleye - Common carp,,,,http://www.dec.ny.gov/outdoor/26921.html,http://www.dec.ny.gov/docs/fish_marine_pdf/rushlkmap.pdf,http://www.dec.ny.gov/outdoor/31494.html,Allegany,-78.194960386,42.381932173,"(42.381932173, -78.194960386)"
Silver Lake,836,Trailer Improved,OPRHP (State Parks) - Various,Marina - Boat Rental - Campsite,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Northern Pike - Walleye,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23855.html,http://www.dec.ny.gov/outdoor/26918.html,http://www.dec.ny.gov/docs/fish_marine_pdf/sillkmap.pdf,,Wyoming,-78.029263493,42.6954891,"(42.6954891, -78.029263493)"
Canandaigua Lake,10558,Trailer Improved,DEC,Fishing Pier - Marina - Boat Rental,Brown Trout - Rainbow Trout - Lake Trout - Smallmouth Bass - Yellow Perch,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23880.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/cananlkmap.pdf,http://www.dec.ny.gov/outdoor/31417.html,Ontario,-77.299146409,42.783281027,"(42.783281027, -77.299146409)"
Second Pond,28,Hand Launch,OPRHP (State Parks),,Brown Trout - Rainbow Trout - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel,Ice Fishing Permitted,Electric motors only - OPRHP permit required (Capital District 518-584-2000),http://www.dec.ny.gov/outdoor/23874.html,http://www.dec.ny.gov/outdoor/67409.html,http://www.dec.ny.gov/docs/fish_marine_pdf/secpdmap1.pdf,http://www.dec.ny.gov/outdoor/31479.html,Rensselear,-73.448131895,42.779680069,"(42.779680069, -73.448131895)"
Mill Pond,18.5,Hand Launch,OPRHP (State Parks),,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel,Ice Fishing Permitted,Electric motors only - OPRHP permit required (Capital District 518-584-2000),http://www.dec.ny.gov/outdoor/23874.html,http://www.dec.ny.gov/outdoor/67399.html,http://www.dec.ny.gov/docs/fish_marine_pdf/milpdmap.pdf,,Rensselear,-73.449747675,42.775199718,"(42.775199718, -73.449747675)"
Shaver Pond,44.5,Hand Launch,OPRHP (State Parks),,Brown Trout - Rainbow Trout - Brown Bullhead - Sunfish,Ice Fishing Permitted,Electric motors only - OPRHP permit required (Capital District 518-584-2000),http://www.dec.ny.gov/outdoor/23874.html,http://www.dec.ny.gov/outdoor/67414.html,http://www.dec.ny.gov/docs/fish_marine_pdf/shvpdmap.pdf,http://www.dec.ny.gov/outdoor/31479.html,Rensselear,-73.457561157,42.779635633,"(42.779635633, -73.457561157)"
Lake Erie,2123143,Trailer Improved,Various,Fishing Pier - Marina - Campsite,Brown Trout - Rainbow Trout - Lake Trout - Smallmouth Bass - Sunfish - Yellow Perch - Muskellunge - Walleye - Common carp - Channel Catfish,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23907.html,http://www.dec.ny.gov/outdoor/47535.html,,http://www.dec.ny.gov/outdoor/31419.html,Chautauqua/Erie,-79.402569509,42.674760731,"(42.674760731, -79.402569509)"
Otis Pike Preserve Ponds,50,Hand Launch,DEC,,American Black Bass - Sunfish - Chain Pickerel,,DEC access permit required (631-444-0280) - Hike in,http://www.dec.ny.gov/outdoor/23865.html,http://www.dec.ny.gov/outdoor/24187.html,,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,-72.816970038,40.890681047,"(40.890681047, -72.816970038)"
